frame,tsec,S,elbow_L,elbow_R,wristflex_L,wristflex_R,line_off_L,line_off_R,wristdrop_L,wristdrop_R,chintuck_deg,torso_tilt_deg,reach_L,reach_R,guard_ok_L,guard_ok_R,punch_arm
0,0.0000,313.898,39.47,32.76,2.08,14.24,0.4497,0.9909,0.4077,0.4188,162.73,134.69,127.65,139.67,0,0,R
1,0.0333,327.558,37.27,31.71,11.81,10.86,0.3019,0.9748,0.4254,0.3876,158.54,135.31,109.32,139.76,0,0,R
2,0.0667,338.853,41.98,30.93,24.49,16.78,0.2571,0.9562,0.4510,0.3601,156.25,135.63,124.53,139.21,0,0,R
3,0.1000,341.967,32.06,27.97,32.57,13.19,0.3817,0.9690,0.2482,0.3166,153.81,136.93,131.32,129.00,0,0,L
4,0.1333,332.878,39.54,25.99,8.93,0.24,0.6273,0.8519,0.0558,0.4087,153.30,139.34,167.52,83.43,0,0,L
5,0.1667,330.299,36.99,25.72,4.76,2.22,0.7304,0.8378,0.0389,0.4327,154.07,140.66,167.78,75.59,0,0,L
6,0.2000,322.938,37.07,25.71,10.09,3.92,0.7041,0.8465,0.0220,0.4580,154.61,141.52,162.27,71.93,0,0,L
7,0.2333,319.175,24.91,27.71,1.31,1.59,0.2278,0.8178,0.3934,0.5156,154.45,141.85,101.25,68.17,0,0,L
8,0.2667,329.696,18.59,28.42,13.42,4.05,0.0814,0.7666,0.5584,0.5233,152.03,142.69,39.04,65.20,0,0,R
9,0.3000,324.807,11.16,28.22,4.40,0.34,0.0989,0.8032,0.4642,0.5559,151.92,142.93,46.32,64.37,0,0,R
10,0.3333,304.701,30.70,29.60,27.69,10.72,0.2067,0.8791,0.5294,0.6117,157.60,136.26,84.40,68.81,0,0,L
11,0.3667,270.508,54.68,32.00,11.26,13.64,0.1821,1.0440,0.7065,0.6943,169.53,130.42,109.58,80.64,0,0,L
12,0.4000,305.880,125.99,37.82,81.57,14.03,0.2220,0.7558,0.5706,0.7242,164.16,130.02,227.23,57.29,0,0,L
13,0.4333,319.494,120.10,147.52,32.78,16.63,0.2892,0.2375,0.1846,1.6851,160.04,128.77,325.38,131.99,0,0,L
14,0.4667,326.101,128.98,144.51,10.38,28.21,0.2705,0.2434,0.0831,1.5860,158.44,129.61,388.95,133.44,0,0,L
15,0.5000,345.415,167.35,127.32,9.20,23.96,0.0855,0.3239,0.2709,1.4249,150.65,128.23,528.27,74.98,0,0,L
16,0.5333,345.572,163.09,49.29,9.00,19.88,0.1192,0.6663,0.3400,0.7713,149.90,128.31,548.80,53.65,0,0,L
17,0.5667,339.631,153.37,40.85,4.53,11.33,0.1677,0.8054,0.2604,0.6669,152.53,128.27,479.57,75.76,0,0,L
18,0.6000,318.407,138.95,38.70,5.26,4.38,0.2197,0.9335,0.1812,0.6934,160.25,128.89,386.88,85.81,0,0,L
19,0.6333,305.142,98.16,39.05,18.85,8.01,0.3443,0.9474,0.1106,0.6861,167.41,124.19,277.06,100.03,0,0,L
20,0.6667,292.694,41.88,37.41,14.07,7.70,0.6644,0.7960,0.1505,0.7042,172.63,125.14,163.74,79.05,0,0,L
21,0.7000,233.979,68.27,59.60,30.93,14.03,0.5175,1.0668,0.2652,0.3954,178.71,126.25,189.91,287.97,0,0,R
22,0.7333,157.251,58.62,102.21,5.51,15.08,0.9883,0.9535,0.4406,0.1137,175.44,128.42,174.56,373.28,0,0,R
23,0.7667,115.978,72.72,171.33,3.74,8.24,1.0783,0.1664,0.4232,0.3060,170.98,127.92,183.87,509.26,0,0,R
24,0.8000,104.431,92.85,173.39,26.29,4.72,0.9765,0.1621,0.4006,0.5188,165.31,129.11,212.69,585.09,0,0,R
25,0.8333,102.626,103.97,163.94,31.69,4.24,0.8754,0.3778,0.5588,0.4027,156.45,123.05,235.84,548.81,0,0,R
26,0.8667,122.199,95.10,136.19,25.31,7.86,0.7279,0.7290,0.4490,0.0031,159.41,120.97,208.38,449.31,0,0,R
27,0.9000,114.909,68.41,90.82,18.44,2.46,1.1581,1.6733,0.5961,0.4755,154.72,118.05,167.61,386.28,0,0,R
28,0.9333,139.976,44.25,69.12,18.08,12.54,1.4137,1.9914,0.6037,0.8700,158.37,116.85,140.34,365.44,0,0,R
29,0.9667,183.865,51.82,53.06,3.89,11.72,0.8955,1.6479,0.4467,1.0905,169.72,119.43,160.18,231.54,0,0,R
30,1.0000,238.045,32.25,43.21,4.35,17.92,0.6655,1.0798,0.3846,1.0141,178.30,122.24,103.16,114.11,0,0,R
31,1.0333,260.582,139.43,42.34,2.86,12.08,0.1504,1.0712,0.0836,0.8629,179.88,118.85,210.93,126.74,0,0,L
32,1.0667,268.860,170.02,36.56,6.15,14.39,0.0568,1.0185,0.1997,0.7138,179.10,117.75,350.36,113.47,0,0,L
33,1.1000,265.241,146.17,34.33,172.73,20.59,0.0789,1.0235,0.1141,0.6485,179.06,120.28,233.18,113.55,0,0,L
34,1.1333,267.553,22.65,34.63,44.54,10.57,0.0178,1.0096,0.0450,0.6012,177.76,122.86,189.91,121.88,0,0,L
35,1.1667,217.594,141.94,31.05,138.84,0.72,0.1581,1.1948,0.1388,0.7647,179.03,127.03,242.35,88.51,0,0,L
36,1.2000,274.306,46.53,27.02,42.35,4.79,0.1615,0.4386,0.0418,0.8122,156.83,132.16,186.61,2.81,0,0,L
37,1.2333,299.695,39.23,30.72,28.10,3.09,0.2394,0.4800,0.2810,0.7260,158.34,131.74,165.90,2.28,0,0,L
38,1.2667,306.215,39.84,28.83,2.51,11.15,0.1849,0.2935,0.3612,0.7342,160.80,132.60,149.52,51.92,0,0,L
39,1.3000,322.407,66.33,68.46,24.99,29.93,0.0241,0.4596,0.3005,0.8848,160.93,130.44,194.61,3.81,0,0,L
40,1.3333,319.635,157.53,79.60,42.30,31.50,0.0402,0.4515,0.3466,0.9713,165.26,126.17,214.29,6.77,0,0,L
41,1.3667,312.164,100.12,88.04,36.16,26.25,0.1358,0.5032,0.1378,1.0937,170.07,125.50,212.47,1.45,0,0,L
42,1.4000,301.893,71.36,86.51,17.49,23.58,0.4170,0.6157,0.0354,1.2243,173.56,126.77,210.93,30.03,0,0,L
43,1.4333,240.848,82.03,82.18,3.53,26.92,0.4343,0.8307,0.2241,1.4945,178.21,129.94,181.77,73.40,0,0,L
44,1.4667,137.104,74.51,56.27,16.22,28.00,0.9379,1.4534,0.3794,0.4960,157.05,134.82,194.96,216.79,0,0,R
45,1.5000,162.510,73.93,68.23,10.78,27.41,0.7497,1.4473,0.4172,0.7370,153.74,133.41,201.24,303.55,0,0,R
46,1.5333,145.693,67.44,80.41,15.24,25.96,1.0127,1.4824,0.5685,0.5156,154.20,132.85,204.19,367.16,0,0,R
47,1.5667,72.316,71.22,78.85,23.42,35.36,2.0730,3.1141,0.9709,0.1645,154.67,134.45,227.20,378.87,0,0,R
48,1.6000,54.223,72.93,76.36,19.00,32.00,2.9358,4.1954,1.2320,0.5004,150.02,132.89,243.93,358.88,0,0,R
49,1.6333,67.983,62.13,78.04,19.42,44.06,2.1836,3.0466,1.1958,0.5626,149.05,129.96,200.97,334.99,0,0,R
50,1.6667,84.606,58.79,68.39,21.46,36.31,2.0278,2.6700,1.4092,1.4765,141.63,126.17,201.07,297.93,0,0,R
51,1.7000,102.178,55.86,70.71,13.82,36.29,1.7673,2.5206,1.2596,2.1550,145.55,123.30,182.76,292.80,0,0,R
52,1.7333,162.982,55.85,64.50,3.13,22.30,1.0603,1.6800,0.6042,1.2252,154.04,123.01,184.54,284.89,0,0,R
53,1.7667,193.066,46.14,51.87,1.33,27.24,1.0545,1.6142,0.1984,0.5935,161.53,124.86,176.03,281.25,0,0,R
54,1.8000,242.449,46.95,47.51,6.15,15.24,0.8065,1.2327,0.0836,0.4717,171.98,124.86,180.63,238.91,0,0,R
55,1.8333,253.489,51.05,44.90,12.11,16.10,0.7405,1.2184,0.0969,0.3493,173.98,125.04,200.60,239.69,0,0,R
56,1.8667,272.633,40.94,40.21,12.85,18.71,0.6285,1.1451,0.1234,0.2848,179.17,124.88,169.67,216.32,0,0,R
57,1.9000,288.316,29.11,36.94,7.74,18.32,0.4848,1.1279,0.1652,0.2227,174.76,127.00,127.98,207.65,0,0,R
58,1.9333,292.655,29.72,33.49,17.26,19.57,0.5907,1.1494,0.1164,0.1937,170.06,131.40,118.53,194.47,0,0,R
59,1.9667,288.103,25.92,32.64,26.48,11.99,0.4331,1.1678,0.1232,0.2579,169.01,130.17,93.19,182.55,0,0,R
60,2.0000,262.461,38.51,30.66,30.04,10.02,0.4122,1.2512,0.3234,0.4515,175.82,130.03,115.53,146.39,0,0,R
61,2.0333,265.175,35.51,38.80,20.96,19.61,0.6360,1.1190,0.3311,0.7065,175.95,130.81,128.39,140.56,0,0,R
62,2.0667,295.520,45.21,39.23,42.53,19.67,0.1767,0.9325,0.5162,0.7201,168.82,131.27,108.96,114.84,0,0,R
63,2.1000,317.215,57.05,42.78,74.33,20.65,0.2565,0.7811,0.4627,0.7659,165.26,131.21,132.22,96.31,0,0,L
64,2.1333,336.003,97.81,46.62,7.17,21.65,0.2330,0.7304,0.2737,0.7458,162.71,131.38,202.37,97.62,0,0,L
65,2.1667,344.286,117.71,55.12,19.79,26.45,0.2366,0.6854,0.0269,0.8125,159.75,132.37,295.37,94.32,0,0,L
66,2.2000,343.821,151.19,52.07,5.20,22.09,0.1427,0.6766,0.1334,0.7704,157.28,133.15,390.34,79.21,0,0,L
67,2.2333,335.745,164.34,50.70,4.17,22.54,0.1108,0.6763,0.3804,0.7489,155.49,130.20,525.75,81.40,0,0,L
68,2.2667,350.175,155.85,52.92,6.89,28.17,0.1546,0.6567,0.3628,0.7035,150.24,131.38,492.89,105.41,0,0,L
69,2.3000,334.300,143.45,51.47,1.97,20.73,0.1980,0.6865,0.2022,0.7505,151.07,131.96,406.37,84.59,0,0,L
70,2.3333,323.076,122.86,49.56,4.36,18.50,0.2897,0.7418,0.1848,0.7923,159.62,131.05,346.33,71.89,0,0,L
71,2.3667,289.309,73.06,46.77,18.69,11.25,0.5172,0.9158,0.2875,0.8098,174.37,127.12,225.51,100.74,0,0,L
72,2.4000,279.701,53.37,38.41,16.49,12.72,0.6588,1.0139,0.3523,0.5124,172.46,128.62,175.10,148.38,0,0,L
73,2.4333,217.384,54.30,75.24,10.35,22.35,0.7258,0.8678,0.4731,0.3249,179.42,128.97,150.18,318.09,0,0,R
74,2.4667,139.167,66.89,138.30,51.97,19.49,1.0014,0.6182,0.7632,0.0438,175.42,131.90,175.06,451.83,0,0,R
75,2.5000,105.156,89.32,170.26,71.99,6.34,1.1787,0.2348,0.7124,0.2156,167.14,128.64,244.85,584.22,0,0,R
76,2.5333,126.135,103.27,162.92,57.64,2.09,0.8974,0.3373,0.4368,0.1336,162.81,124.30,285.88,568.54,0,0,R
77,2.5667,169.803,112.09,148.24,56.81,8.61,0.4409,0.3923,0.3187,0.1102,168.37,124.37,239.06,469.19,0,0,R
78,2.6000,176.952,68.30,101.97,10.15,8.96,0.6925,0.9098,0.1891,0.2560,168.54,119.31,178.03,394.93,0,0,R
79,2.6333,203.867,48.36,81.09,34.80,11.96,0.8533,1.0863,0.3763,0.5503,169.18,117.07,141.66,368.09,0,0,R
80,2.6667,251.372,70.58,62.44,24.80,13.05,0.3720,1.0173,0.1961,0.7510,179.63,120.15,165.37,252.39,0,0,R
81,2.7000,283.532,124.58,47.81,8.09,7.21,0.1598,0.9554,0.0513,0.7460,172.76,122.44,197.81,163.75,0,0,L
82,2.7333,298.762,173.74,41.73,21.01,8.24,0.0289,0.8296,0.1280,0.6894,166.74,123.77,315.54,127.89,0,0,L
83,2.7667,285.762,175.28,38.59,24.30,13.25,0.0257,0.8947,0.4161,0.5957,165.94,123.98,338.12,135.18,0,0,L
84,2.8000,245.435,1.86,31.42,78.71,19.37,0.0129,1.1364,0.2109,0.5741,171.26,125.10,139.94,122.36,0,0,L
85,2.8333,247.485,1.53,29.01,84.33,8.58,0.0210,0.9531,0.1433,0.6363,170.67,126.25,128.19,89.26,0,0,L
86,2.8667,319.518,101.55,33.11,13.04,19.74,0.0822,0.2005,0.0293,0.8248,151.48,131.99,206.81,21.17,0,0,L
87,2.9000,329.650,53.83,17.98,24.80,5.35,0.2212,0.1225,0.0325,0.7135,152.04,134.84,175.97,50.89,0,0,L
88,2.9333,337.197,14.77,57.63,134.52,11.64,0.0138,0.2280,0.2667,0.7935,153.81,138.45,153.68,43.31,0,0,L
