frame,violations,time_s,L_is_punch,R_is_punch,L_dist_torso_ema,R_dist_torso_ema,L_vel,R_vel,L_elbow_deg,R_elbow_deg
0,NoTorso,,,,,,,,,
1,NoTorso,,,,,,,,,
2,NoTorso,,,,,,,,,
3,,0.1,0.0,0.0,0.5115768121564822,0.6005518685295367,,,35.65063346563247,30.1159528354009
4,NoTorso,,,,,,,,,
5,NoTorso,,,,,,,,,
6,,0.2,0.0,0.0,0.49754647233040394,0.6266439311714295,-0.014030339826078264,0.026092062641892788,34.02983690431921,25.971416781814664
7,NoTorso,,,,,,,,,
8,NoTorso,,,,,,,,,
9,NoTorso,,,,,,,,,
10,NoTorso,,,,,,,,,
11,NoTorso,,,,,,,,,
12,NoTorso,,,,,,,,,
13,NoTorso,,,,,,,,,
14,NoTorso,,,,,,,,,
15,VisLow,,,,,,,,,
16,VisLow,,,,,,,,,
17,VisLow,,,,,,,,,
18,VisLow,,,,,,,,,
19,VisLow,,,,,,,,,
20,VisLow,,,,,,,,,
21,VisLow,,,,,,,,,
22,VisLow,,,,,,,,,
23,VisLow,,,,,,,,,
24,VisLow,,,,,,,,,
25,VisLow,,,,,,,,,
26,NoTorso,,,,,,,,,
27,NoTorso,,,,,,,,,
28,NoTorso,,,,,,,,,
29,NoTorso,,,,,,,,,
30,NoTorso,,,,,,,,,
31,VisLow,,,,,,,,,
32,VisLow,,,,,,,,,
33,VisLow,,,,,,,,,
34,VisLow,,,,,,,,,
35,VisLow,,,,,,,,,
36,VisLow,,,,,,,,,
37,VisLow,,,,,,,,,
38,VisLow,,,,,,,,,
39,VisLow,,,,,,,,,
40,VisLow,,,,,,,,,
41,VisLow,,,,,,,,,
42,VisLow,,,,,,,,,
43,VisLow,,,,,,,,,
44,VisLow,,,,,,,,,
45,VisLow,,,,,,,,,
46,VisLow,,,,,,,,,
47,VisLow,,,,,,,,,
48,VisLow,,,,,,,,,
49,VisLow,,,,,,,,,
50,VisLow,,,,,,,,,
51,VisLow,,,,,,,,,
52,VisLow,,,,,,,,,
53,VisLow,,,,,,,,,
54,VisLow,,,,,,,,,
55,VisLow,,,,,,,,,
56,VisLow,,,,,,,,,
57,VisLow,,,,,,,,,
58,VisLow,,,,,,,,,
59,VisLow,,,,,,,,,
60,VisLow,,,,,,,,,
61,NoTorso,,,,,,,,,
62,NoTorso,,,,,,,,,
63,NoTorso,,,,,,,,,
64,VisLow,,,,,,,,,
65,VisLow,,,,,,,,,
66,VisLow,,,,,,,,,
67,VisLow,,,,,,,,,
68,VisLow,,,,,,,,,
69,VisLow,,,,,,,,,
70,VisLow,,,,,,,,,
71,VisLow,,,,,,,,,
72,VisLow,,,,,,,,,
73,VisLow,,,,,,,,,
74,VisLow,,,,,,,,,
75,VisLow,,,,,,,,,
76,NoTorso,,,,,,,,,
77,NoTorso,,,,,,,,,
78,NoTorso,,,,,,,,,
79,NoTorso,,,,,,,,,
80,NoTorso,,,,,,,,,
81,NoTorso,,,,,,,,,
82,NoTorso,,,,,,,,,
83,NoTorso,,,,,,,,,
84,VisLow,,,,,,,,,
85,VisLow,,,,,,,,,
86,VisLow,,,,,,,,,
87,VisLow,,,,,,,,,
88,VisLow,,,,,,,,,
89,VisLow,,,,,,,,,
90,VisLow,,,,,,,,,
91,VisLow,,,,,,,,,
92,VisLow,,,,,,,,,
93,VisLow,,,,,,,,,
94,VisLow,,,,,,,,,
95,VisLow,,,,,,,,,
96,VisLow,,,,,,,,,
97,VisLow,,,,,,,,,
98,VisLow,,,,,,,,,
99,VisLow,,,,,,,,,
100,VisLow,,,,,,,,,
101,VisLow,,,,,,,,,
102,VisLow,,,,,,,,,
103,VisLow,,,,,,,,,
104,VisLow,,,,,,,,,
105,VisLow,,,,,,,,,
106,VisLow,,,,,,,,,
107,VisLow,,,,,,,,,
108,VisLow,,,,,,,,,
109,NoTorso,,,,,,,,,
