frame,time_s,L_elbow_deg,R_elbow_deg,L_wrist_face_px,R_wrist_face_px,dL_elbow_deg_dt,dR_elbow_deg_dt,dR_wrist_face_px_dt,dL_wrist_face_px_dt,d2L_elbow_deg_dt2,d2R_elbow_deg_dt2,d2L_wrist_face_px_dt2,d2R_wrist_face_px_dt2,L_shoulder_wrist_px,R_shoulder_wrist_px,L_ratio_wf_over_sw,R_ratio_wf_over_sw
0,0.0,39.47025344175524,32.76095711656301,308.99755859375,366.3089904785156,-13.919038606791077,-9.571832353564957,-80.115966796875,33.34808349609375,680.5091500747708,-63.16507792152937,2006.6665649414062,-690.8889770507812,180.74408058984375,191.81898598535156,1.7095860488783996,1.9096597169296325
1,0.03333333333333333,39.00628548819554,32.44189603811085,310.1091613769531,363.6384582519531,8.764599729034614,-11.67733495094927,-103.14559936523438,100.23696899414062,-240.3237690294514,-233.4119005373874,-2364.539337158203,-1608.8447570800781,179.38792519433593,190.9120645986328,1.7287069965328115,1.9047432073842716
2,0.06666666666666667,40.05456009035755,31.98246811983306,315.6800231933594,359.4326171875,-29.940623208754502,-25.132625722724118,-187.37228393554688,-124.28787231445312,-878.0072579280088,-422.22219589204934,-9034.38720703125,932.958984375,184.62860207421875,189.15553383691406,1.7098110457796747,1.9001961502083005
3,0.1,37.01024394094524,30.766387656595906,301.82330322265625,351.14697265625,-49.76921746616597,-39.82548134375256,-40.948333740234375,-502.0555114746094,183.10013608137547,-197.14717589196843,-6387.245178222656,5337.302398681641,174.90872292382812,182.89747719628906,1.7256046363913982,1.9199115156705653
4,0.13333333333333333,36.736612259279816,29.327436030249558,282.20965576171875,356.7027282714844,-17.73394746999614,-38.27577078218868,168.4478759765625,-550.1042175292969,602.9949845154426,170.96476346227996,2354.8370361328125,3239.710235595703,165.28970436914062,174.42959694726562,1.7073637879553674,2.0449667631768045
5,0.16666666666666666,35.82798077627883,28.214669604449995,265.1496887207031,362.3768310546875,-9.569551831803125,-28.427830446267226,175.0323486328125,-345.0663757324219,-271.0557075136812,401.2124106357072,9333.675384521484,764.4287109375,158.65556435449218,169.28176979882812,1.671228423657841,2.1406725100129247
6,0.2,36.09864213715961,27.432247333831743,259.2052307128906,368.3715515136719,-35.80432797090822,-11.528276739808199,219.4097900390625,72.14080810546875,-2256.416160209515,482.99839888406217,11120.429992675781,1378.23486328125,157.80609230859375,166.90280251367187,1.6425552836452495,2.2071022533219398
7,0.23333333333333334,33.44102557821828,27.446117821796115,269.9590759277344,377.004150390625,-159.9972958457708,3.7720628126702493,266.9146728515625,396.2956237792969,-2218.288767576332,255.01856144166197,4321.7193603515625,819.9371337890625,152.67018227441406,169.35504250390625,1.7682501710943246,2.226117066351474
8,0.26666666666666666,25.432155747441556,27.68371818800976,285.62493896484375,386.1658630371094,-183.69024580933032,5.472960689635933,274.072265625,360.25543212890625,1858.6275802995501,88.48872535251822,-2763.4254455566406,-926.7242431640625,148.7917032705078,173.2317667470703,1.9196294731942747,2.229186195398773
9,0.3,21.195009190929593,27.810981867771844,293.9761047363281,395.275634765625,-36.08879049246745,9.671311169504797,205.133056640625,212.0672607421875,4368.7813989648475,286.9426084275209,-2543.5890197753906,-2298.3810424804688,147.32711891992187,178.36094765527343,1.9953970924804127,2.2161557222133217
