frame,tsec,S,elbow_L,elbow_R,wristflex_L,wristflex_R,line_off_L,line_off_R,wristdrop_L,wristdrop_R,chintuck_deg,torso_tilt_deg,reach_L,reach_R,guard_ok_L,guard_ok_R,punch_arm
0,0.0000,164.634,173.46,171.40,12.64,2.96,0.0367,0.0612,1.2754,1.6178,157.98,162.22,38.04,39.95,0,0,R
1,0.0335,165.620,172.86,173.02,16.01,5.05,0.0400,0.0463,1.2908,1.5206,158.95,163.13,37.00,41.96,0,0,R
2,0.0670,166.492,172.94,173.84,17.58,9.68,0.0397,0.0397,1.2933,1.4784,159.35,162.69,34.68,43.89,0,0,R
3,0.1005,166.465,173.15,172.99,19.15,7.95,0.0389,0.0460,1.3083,1.4979,159.30,160.89,33.68,43.76,0,0,R
4,0.1340,166.322,173.65,174.45,20.78,11.86,0.0361,0.0367,1.3091,1.5053,159.17,157.48,32.43,47.52,0,0,R
5,0.1675,166.344,174.12,175.44,22.24,13.55,0.0333,0.0305,1.3083,1.5181,159.10,155.71,31.26,50.33,0,0,R
6,0.2010,166.416,174.26,176.58,22.65,12.47,0.0325,0.0232,1.3066,1.5354,159.00,154.43,30.93,54.19,0,0,R
7,0.2345,166.499,174.28,176.52,24.43,11.16,0.0326,0.0237,1.3105,1.5368,158.66,152.68,30.89,55.69,0,0,R
8,0.2680,166.515,172.87,176.68,26.53,8.61,0.0404,0.0226,1.3032,1.5366,157.81,150.89,32.94,59.16,0,0,R
9,0.3015,166.543,171.94,173.60,25.35,3.90,0.0439,0.0436,1.2572,1.5365,156.47,149.82,33.69,58.62,0,0,R
10,0.3350,167.039,170.59,173.88,25.14,1.78,0.0513,0.0410,1.2566,1.5135,155.16,148.34,36.62,60.86,0,0,R
11,0.3685,168.424,168.99,175.92,24.76,3.79,0.0600,0.0294,1.2494,1.6070,155.33,146.71,41.51,70.83,0,0,R
12,0.4021,169.238,168.06,175.18,25.06,5.68,0.0652,0.0348,1.2434,1.6125,155.89,146.00,45.87,70.90,0,0,R
13,0.4356,169.789,167.89,173.24,22.02,4.54,0.0663,0.0479,1.2337,1.5917,156.23,144.16,51.29,65.79,0,0,R
14,0.4691,171.201,167.31,172.43,18.93,5.26,0.0689,0.0527,1.2175,1.5656,155.83,142.83,54.94,62.88,0,0,R
15,0.5026,171.253,166.99,170.69,24.56,2.85,0.0711,0.0642,1.2142,1.5568,155.15,141.22,60.99,58.67,0,0,L
16,0.5361,170.041,168.24,169.83,25.49,1.66,0.0646,0.0692,1.2146,1.5374,155.17,141.38,64.68,56.97,0,0,L
17,0.5696,169.170,167.46,169.89,20.76,4.56,0.0692,0.0703,1.2069,1.5663,156.48,140.82,69.46,57.18,0,0,L
18,0.6031,169.020,164.75,169.35,14.62,6.17,0.0840,0.0738,1.1900,1.5652,157.51,142.08,72.51,54.81,0,0,L
19,0.6366,170.732,161.62,169.19,7.33,5.66,0.1008,0.0755,1.1752,1.5807,157.31,143.20,73.87,51.54,0,0,L
20,0.6701,172.484,159.00,168.75,1.30,5.66,0.1144,0.0778,1.1649,1.5693,156.85,143.15,73.08,49.41,0,0,L
21,0.7036,173.737,157.81,169.07,0.71,6.48,0.1193,0.0746,1.1514,1.5510,156.59,143.75,71.27,49.66,0,0,L
22,0.7371,174.536,158.27,171.20,0.66,6.44,0.1157,0.0598,1.1497,1.5420,156.54,143.67,67.57,53.72,0,0,L
23,0.7706,175.225,159.37,171.01,0.48,7.10,0.1081,0.0610,1.1454,1.5345,156.13,143.84,61.18,56.73,0,0,L
24,0.8041,174.729,161.23,170.32,1.27,7.16,0.0976,0.0643,1.1477,1.5074,156.36,143.90,56.96,58.53,0,0,R
25,0.8376,174.740,162.97,170.90,1.84,4.90,0.0881,0.0602,1.1532,1.4990,156.06,144.14,52.43,61.92,0,0,R
26,0.8711,174.266,164.68,170.25,9.33,4.80,0.0792,0.0640,1.1600,1.4851,156.32,144.57,49.50,63.28,0,0,R
27,0.9046,174.567,166.88,169.56,17.94,4.26,0.0674,0.0678,1.1613,1.4715,156.32,144.55,45.95,61.99,0,0,R
28,0.9381,174.582,166.11,167.98,21.83,4.73,0.0710,0.0773,1.1643,1.4574,155.84,144.92,40.30,65.29,0,0,R
29,0.9716,174.739,165.03,165.60,21.22,4.22,0.0762,0.0927,1.1725,1.4572,154.76,145.61,34.97,66.95,0,0,R
30,1.0051,170.419,164.68,167.50,24.35,0.38,0.0798,0.0840,1.2085,1.5014,154.42,146.06,28.87,77.60,0,0,R
31,1.0386,164.826,163.35,169.15,31.33,3.86,0.0869,0.0764,1.2157,1.5542,156.97,145.74,24.89,86.06,0,0,R
32,1.0721,162.268,164.75,171.71,29.93,1.99,0.0807,0.0587,1.2414,1.5549,157.31,146.41,19.03,90.25,0,0,R
33,1.1056,161.033,168.24,172.87,32.18,1.90,0.0629,0.0502,1.2635,1.5468,157.72,146.04,14.32,89.02,0,0,R
34,1.1391,157.360,169.23,174.56,29.76,3.48,0.0589,0.0393,1.2926,1.5821,158.68,145.93,15.25,89.39,0,0,R
35,1.1726,152.028,166.67,174.39,22.45,4.48,0.0774,0.0416,1.3582,1.6245,159.91,146.56,25.65,86.24,0,0,R
36,1.2062,147.443,166.09,170.91,21.71,9.47,0.0840,0.0686,1.4048,1.6798,163.01,146.00,32.37,72.96,0,0,R
37,1.2397,144.865,162.45,175.95,22.69,6.57,0.1086,0.0306,1.4271,1.6832,163.78,146.41,42.77,75.40,0,0,R
38,1.2732,140.495,153.09,165.32,11.42,14.08,0.1744,0.1124,1.4453,1.7421,164.06,146.90,56.58,50.19,0,0,L
39,1.3067,133.576,142.14,153.78,21.07,17.26,0.2602,0.2211,1.4520,1.9113,166.95,146.02,71.05,32.43,0,0,L
40,1.3402,126.650,133.62,134.11,30.45,21.23,0.3443,0.4157,1.4443,1.9921,167.98,145.48,90.43,8.52,0,0,L
